14.02.2022 11:36:28.221 INFO  - Start parsing: https://bank.gov.ua/ua/statistic/nbureport/regindicator-statreport/files-21 ...
14.02.2022 11:36:29.305 DEBUG - tr:1
14.02.2022 11:36:29.306 DEBUG - 	td0:Балансова звітність банків
14.02.2022 11:36:29.329 DEBUG - 	td:2:"Дані про залишки коштів, що розміщені в інших банках та залучені від інших банків"
14.02.2022 11:36:29.329 DEBUG - 	td:3:28.01.2021
14.02.2022 11:36:29.329 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.329 DEBUG - 	td:5:22.06.2018
14.02.2022 11:36:29.330 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.330 DEBUG - 	td:7:
14.02.2022 11:36:29.330 DEBUG - 	td:8:
14.02.2022 11:36:29.330 DEBUG - 	td:9:22.07.2020
14.02.2022 11:36:29.330 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.331 DEBUG - 	td:11:f26x
14.02.2022 11:36:29.331 DEBUG - tr:15
14.02.2022 11:36:29.331 DEBUG - 	td0:3BX
14.02.2022 11:36:29.331 DEBUG - 	td:1:3BX
14.02.2022 11:36:29.331 DEBUG - 	td:2:"Дані про фінансову звітність підприємств – боржників банку"
14.02.2022 11:36:29.331 DEBUG - 	td:3:29.01.2021
14.02.2022 11:36:29.331 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.331 DEBUG - 	td:5:08.11.2019
14.02.2022 11:36:29.331 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.332 DEBUG - 	td:7:26.11.2021
14.02.2022 11:36:29.332 DEBUG - 	td:8:Description
14.02.2022 11:36:29.332 DEBUG - 	td:9:11.01.2022
14.02.2022 11:36:29.332 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.332 DEBUG - 	td:11:t3bx
14.02.2022 11:36:29.332 DEBUG - tr:16
14.02.2022 11:36:29.332 DEBUG - 	td0:3VX
14.02.2022 11:36:29.332 DEBUG - 	td:1:3VX
